"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"6/11/2018","Papyrus","PAPYRUS","28.19","debit","Books","American Express Cobalt Card","",""
"6/11/2018","Tim Horton's","TIM HORTONS","3.14","debit","Coffee Shops","American Express Cobalt Card","",""
"6/09/2018","Amazon","AMAZON.CA","17.04","debit","Shopping","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"6/11/2018","Bulk Barn","BULK BARN #700 _F","32.52","debit","Groceries","TD UNLIMITED CHEQUING ACCOUNT","",""
"6/11/2018","Kimchi Korea Ho","KIMCHI KOREA HO","46.66","debit","Restaurants","TD UNLIMITED CHEQUING ACCOUNT","",""
"6/11/2018","Transfer from TD BASIC BUSINESS PLAN","Transfer from TD BASIC BUSINESS PLAN 5013376 LT313","3000.00","credit","Transfer","TD UNLIMITED CHEQUING ACCOUNT","",""
"6/11/2018","Tsujiri Tea Hou","TSUJIRI TEA HOU _F","8.48","debit","Coffee Shops","TD UNLIMITED CHEQUING ACCOUNT","",""
"6/11/2018","Tdm Cbp","TDM CBP","5695.20","credit","Income","TD BASIC BUSINESS PLAN","",""
"6/11/2018","Emptx Bus","EMPTX 9058127 BUS","605.27","debit","Federal Tax","TD BASIC BUSINESS PLAN","",""
"6/11/2018","Transfer to TD UNLIMITED CHEQUING ACCOUNT","Transfer to TD UNLIMITED CHEQUING ACCOUNT 6328801 LT313","3000.00","debit","Transfer","TD BASIC BUSINESS PLAN","",""
"6/11/2018","Online Banking Transfer","Online Banking transfer to CHK 3897 Confirmation# 2468029232","520.00","debit","Transfer","BofA Core Checking","",""
"6/11/2018","Freshly Squeezed","FRESHLY SQUEEZED- TORONTO","7.35","debit","Coffee Shops","American Express Cobalt Card","",""
"6/11/2018","Netflix","NETFLIX.COM 866-716-0414","13.99","debit","Movies & DVDs","American Express Cobalt Card","",""
"6/11/2018","Nespresso Toronto","NESPRESSO TORONTO TORONTO","46.20","debit","Office Supplies","American Express Cobalt Card","",""
"6/11/2018","Longo's","LONGO'S # 24 TORONTO TORONTO","139.16","debit","Groceries","American Express Cobalt Card","",""
"6/10/2018","Gordo Ex Cafe","GORDO EX CAFE 207110034 TORONTO","49.77","debit","Restaurants","American Express Cobalt Card","",""
"6/09/2018","Winners","WINNERS 483 TORONTO","29.36","debit","Clothing","American Express Cobalt Card","",""
"6/09/2018","Tim Horton's","TIM HORTONS OAKVILLE","5.00","debit","Coffee Shops","American Express Cobalt Card","",""
"6/09/2018","Winners","WINNERS 483 TORONTO","18.06","credit","Clothing","American Express Cobalt Card","",""
"6/09/2018","Volta Espresso Bar","VOLTA ESPRESSO BAR Toronto","7.50","debit","Coffee Shops","American Express Cobalt Card","",""
"6/09/2018","Winners","WINNERS 483 TORONTO","54.18","debit","Clothing","American Express Cobalt Card","",""
"6/09/2018","Received Thank You","PAYMENT RECEIVED - THANK YOU","186.24","credit","Credit Card Payment","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"6/08/2018","Wakame Sushi","WAKAME SUSHI","10.64","debit","Restaurants","TD UNLIMITED CHEQUING ACCOUNT","",""
"6/08/2018","Quickpay With Zelle","QuickPay with Zelle payment to juan gaviria 7215489456","500.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"6/08/2018","Account Maintenance Fee","MONTHLY SERVICE FEE","12.00","debit","Bank Fee","TOTAL CHECKING","",""
"6/08/2018","Transfer from CHASE SAVINGS","Online Transfer from SAV ...1816transaction#: 7215488106","500.00","credit","Transfer","TOTAL CHECKING","",""
"6/08/2018","Account Maintenance Fee","MONTHLY SERVICE FEE","5.00","debit","Bank Fee","CHASE SAVINGS","",""
"6/08/2018","Interest","INTEREST PAYMENT","0.01","credit","Interest Income","CHASE SAVINGS","",""
"6/08/2018","Transfer to TOTAL CHECKING","Online Transfer to CHK ...0122 transaction#: 7215488106 06/08","500.00","debit","Transfer","CHASE SAVINGS","",""
"6/08/2018","Zelle Transfer Conf","Zelle Transfer Conf# 160914967; JUAN P GAVIRIA","500.00","credit","Transfer","BofA Core Checking","",""
"6/08/2018","Chainsmoker","CHAINSMOKER 209874629 NORTH YORK","36.39","debit","Restaurants","American Express Cobalt Card","",""
"6/08/2018","Tim Horton's","TIM HORTONS OAKVILLE","5.00","debit","Coffee Shops","American Express Cobalt Card","",""
"6/08/2018","Eurest","EUREST-BOMBARIDIER-2303 TORONTO","1.91","debit","Food & Dining","American Express Cobalt Card","",""
"6/07/2018","Tim Horton's","TIM HORTONS OAKVILLE","10.00","debit","Coffee Shops","American Express Cobalt Card","",""
"6/07/2018","Oyshi Sushi","OYSHI SUSHI TORONTO TORONTO","55.60","debit","Restaurants","American Express Cobalt Card","",""
"6/07/2018","Shoppers Drug Mart","SHOPPERS DRUG MART08 TORONTO","27.35","debit","Pharmacy","American Express Cobalt Card","",""
"6/07/2018","Amazon","AMAZON *MARKETPLCE CA WWW.AMAZON.CA","39.99","debit","Shopping","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"6/06/2018","Presto","PRESTO TORONTO","146.25","debit","Public Transportation","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"6/05/2018","Transfer from BofA Core Checking","PAYMENT","50.00","credit","Credit Card Payment","Bank of America Cash Rewards Visa Platinum Plus ","",""
"6/05/2018","Transfer to Bank of America Cash Rewards Visa Platinum Plus ","Bank of America Credit Card Bill Payment","50.00","debit","Credit Card Payment","BofA Core Checking","",""
"6/05/2018","Longo's","LONGO'S # 15 TORONTO TORONTO","27.07","debit","Groceries","American Express Cobalt Card","",""
"6/05/2018","Koha","KOHA 209777251 TORONTO","11.30","debit","Restaurants","American Express Cobalt Card","",""
"6/05/2018","La Prep","LA PREP TORONTO","3.66","debit","Food & Dining","American Express Cobalt Card","",""
"6/05/2018","LCBO","LCBO/RAO #677 TORONTO TORONTO","12.80","debit","Alcohol & Bars","American Express Cobalt Card","",""
"6/04/2018","Sun Life Ins","SUN LIFE INS","63.81","debit","Life Insurance","TD UNLIMITED CHEQUING ACCOUNT","",""
"6/04/2018","Fx ATM Withdrawal","FX ATM W/D _V","119.03","debit","Cash & ATM","TD UNLIMITED CHEQUING ACCOUNT","",""
"6/04/2018","Fx ATM Withdrawal","FX ATM W/D FEE","5.00","debit","ATM Fee","TD UNLIMITED CHEQUING ACCOUNT","",""
"6/04/2018","Transfer to TD UNLIMITED CHEQUING ACCOUNT","View Cheque CHQ#00004-2145205861","3000.00","debit","Transfer","TD BASIC BUSINESS PLAN","",""
"6/04/2018","Discover Hong Kong","DISCOVER HONG KONG LANTAU HK038857 BOOK STORE 320181550773844064","32.63","debit","Credit Card Payment","Starwood Preferred Guest","",""
"6/04/2018","Duty Zero By","DUTY ZERO BY CDF LANTAU HK014078 DUTY-FREE STORE 320181550773488197","15.93","debit","Alcohol & Bars","Starwood Preferred Guest","",""
"6/04/2018","T-Mobile","TMOBILE*AUTO PAY 800-937-8997 WA1967804131 955669142 98006 320181550772177464","137.02","debit","Mobile Phone","Starwood Preferred Guest","",""
"6/04/2018","Ttc Union Station","TTC - UNION STATION TORONTO","116.75","debit","Public Transportation","American Express Cobalt Card","",""
"6/03/2018","Tim Horton's","TIM HORTONS OAKVILLE","10.00","debit","Coffee Shops","American Express Cobalt Card","",""
"6/03/2018","Nugget","THE NUGGET 209502667 TORONTO","4.00","debit","Restaurants","American Express Cobalt Card","",""
"6/03/2018","Pilot Travel Center","PILOT UNION STATION 209 TORONTO","3.94","debit","Coffee Shops","American Express Cobalt Card","",""
"6/03/2018","Danish Pastry House","THE DANISH PASTRY HOUSE TORONTO","6.50","debit","Restaurants","American Express Cobalt Card","",""
"6/03/2018","Eurest","EUREST-BOMBARIDIER-2303 TORONTO","7.67","debit","Food & Dining","American Express Cobalt Card","",""
"6/03/2018","Up Express Pearson","UP EXPRESS PEARSON T MISSISSAUGA","20.00","debit","Public Transportation","American Express Cobalt Card","",""
